"Sex" "Age" "Place" "DivPlace" "DIV" "DivAge" "Time" "BostonQualifier" "HomeStateOrCountry"
"173" "M" 34 365 97 "M30-34" "30-34" 164.57 "N" "PA"
"174" "M" 33 14768 1739 "M30-34" "30-34" 237.83 "Y" "SWE"
"175" "M" 34 17555 1970 "M30-34" "30-34" 245.02 "Y" "GBR"
"176" "M" 35 1563 353 "M35-39" "35-39" 180 "N" "MO"
"177" "M" 38 7603 1171 "M35-39" "35-39" 216.18 "N" "NJ"
"178" "F" 40 8441 336 "F40-44" "40-44" 219.18 "N" "CAN"
"179" "M" 36 9297 1356 "M35-39" "35-39" 222.48 "Y" "GUA"
"180" "M" 47 962 66 "M45-49" "45-49" 174.82 "N" "ESP"
"181" "F" 51 18749 441 "F50-54" "50-54" 248.35 "Y" "WA"
"182" "M" 32 140 35 "M30-34" "30-34" 157 "N" "CO"
"183" "M" 56 4596 120 "M55-59" "55-59" 203.27 "Y" "NY"
"184" "F" 24 5816 62 "F20-24" "20-24" 208.75 "N" "NY"
"185" "M" 38 7674 1179 "M35-39" "35-39" 216.48 "N" "NY"
"186" "M" 51 796 25 "M50-54" "50-54" 172.55 "N" "ESP"
"187" "M" 38 13783 1808 "M35-39" "35-39" 235.62 "Y" "GER"
"188" "M" 35 13796 1811 "M35-39" "35-39" 235.65 "N" "CO"
"189" "F" 35 14774 604 "F35-39" "35-39" 237.83 "N" "ESA"
"190" "F" 29 7651 304 "F25-29" "25-29" 216.38 "N" "NY"
"191" "F" 24 2790 22 "F20-24" "20-24" 191.52 "Y" "MI"
"192" "M" 40 19722 2405 "M40-44" "40-44" 251.1 "Y" "FRA"
"193" "M" 57 4594 119 "M55-59" "55-59" 203.25 "Y" "NED"
"194" "M" 34 519 139 "M30-34" "30-34" 167.9 "Y" "NC"
"195" "F" 29 4506 160 "F25-29" "25-29" 202.68 "Y" "OH"
"196" "M" 40 690 87 "M40-44" "40-44" 170.85 "N" "GBR"
"197" "M" 51 844 29 "M50-54" "50-54" 173.15 "Y" "ESP"
"198" "M" 25 273 71 "M25-29" "25-29" 162.63 "N" "NY"
"199" "M" 33 37 15 "M30-34" "30-34" 145.1 "Y" "NED"
